comment_id,video_id,comment_text,comment_date,reply_count,like_count,is_spam_suspected
UgysupqYQsWSu-D8KbF4AaABAg,Q9FjwzKFPuM,@Ken Jee what do you think about Data Science master's program offered by big universities like the one given by UMICH at Coursera? Will they be a waste of time or will they greatly help enter the data science industry ?,2020-12-10,1,1,false
UgwEKs9q0AVv93ax71V4AaABAg,XTrlMQXYqts,I already have a job which ties me to a specific location.  Actually I have 2 jobs. If I wanted a third source of income from data science I would have to work from home in all likelihood.,2020-12-10,1,1,false
UgyaEaB3phicHjztUvh4AaABAg,YR9Faf1uZDg,How the YouTube Algorithm Works from a Data Science Perspective: https://www.youtube.com/watch?v=YbTMIxjk4hI&t=1s&ab_channel=KenJee',2020-12-10,0,2,true
Ugz6ot7iWYSzau91BsR4AaABAg,YR9Faf1uZDg,And that workstation and notebook by hp were absolute beast !!!!❤️',2020-12-10,1,1,false
UgxShByl79Ip8E7cUIB4AaABAg,YR9Faf1uZDg,Congratulations on 100k💯💯❤️,2020-12-10,1,1,false
Ugw_lTQs0fIQWzBCZo54AaABAg,YR9Faf1uZDg,Have you ever used/owned a Macbook Pro? Just curious to hear your thoughts on how this compares with one of those. Great video as always.,2020-12-10,1,1,false
UgygofTMoQAzsLdGJ814AaABAg,YR9Faf1uZDg,Really an awesome Product and nice unboxing too.,2020-12-10,1,1,false
UgwiAyW_lorVu3f6qZR4AaABAg,YR9Faf1uZDg,How were the render times on the Z hardware compared to your personal hardware?,2020-12-10,1,1,false
UgyTWHes2pX8WJ2y2Gl4AaABAg,YR9Faf1uZDg,Love that one!! Also the silver play button😜,2020-12-10,1,1,false
UgyWPhSf5uf9e95Z2Sx4AaABAg,YR9Faf1uZDg,haha the intro...The struggle was real,2020-12-10,1,4,false
Ugx6opyzsfLxyTS1dmF4AaABAg,YR9Faf1uZDg,See you in the webinar ! ✌️,2020-12-10,1,1,false
Ugw3gcRAJcIiwAI2H594AaABAg,YR9Faf1uZDg,'My GOSH!!!! I've got a Playschool ''My first computer'' compared to these beauties.',2020-12-10,1,1,false
UgzXbv8kV9hCZyBbxrJ4AaABAg,YR9Faf1uZDg,A pretty cool setup to have and the 100k badge just fits in perfectly :D,2020-12-10,1,1,false
UgyI7NkHNX10M6xrq_l4AaABAg,YR9Faf1uZDg,Congratulation Ken and keep going!,2020-12-10,1,1,false
UgzChQ_xZfzLppwdTbR4AaABAg,YR9Faf1uZDg,This is amazing!!! Congrats Ken!,2020-12-10,1,1,false
UgxsbKiPaJHcOkFsbNp4AaABAg,YR9Faf1uZDg,Wondering which body part I can sell to buy the Z laptop :p,2020-12-10,1,1,false
Ugxoa5jlQWRgJBmYYBp4AaABAg,YR9Faf1uZDg,Awesome system and bonus...Linux!,2020-12-10,1,1,false
Ugwyfk9VYzlhh5TNeXJ4AaABAg,YR9Faf1uZDg,Yoooo lessgo ma man🥳!!,2020-12-10,1,1,false
Ugz_VHFiDIw_fw0sdVJ4AaABAg,YR9Faf1uZDg,Also Ken Jee: ''I'm not a full blown computer person''',2020-12-10,1,13,false
UgxkhIuYv1DHUVY7V1R4AaABAg,YR9Faf1uZDg,Congrats on the silver Button Kenny boy. I can see you getting to a mil and being the Ali abdaal of data science,2020-12-10,1,1,false
Ugz7Yy9C6idLnW7U3Th4AaABAg,YR9Faf1uZDg,You should do a video on R and why python is better,2020-12-10,1,1,false
Ugx25u9vEGBT_FnAWOt4AaABAg,YR9Faf1uZDg,Congratulations 👏🎉❤️🎉🎊 Ken for 100k subscribers.,2020-12-10,1,1,false
Ugy_c-fQyHOYEFimNCV4AaABAg,YR9Faf1uZDg,What are the exact model n specifications?,2020-12-10,1,1,false
UgwK01SZmoyiHqmXQUB4AaABAg,YR9Faf1uZDg,💪🏼 great stuff !,2020-12-10,1,1,false
UgzPQ0XIrXweKoedsAl4AaABAg,YR9Faf1uZDg,My best friend works for HP and this project has been his baby for the past two years. Super excited to his project released to the public!,2020-12-10,2,1,false
Ugx0VIMjfGm_9aEh1zR4AaABAg,YR9Faf1uZDg,I love the  papaya mouse  and congratulation for the silver play button,2020-12-10,2,1,false
UgxRcGlEMcqt6wZzKa14AaABAg,YR9Faf1uZDg,Is there anywhere I can find the Kaggle web conference you gave with Nvidia? I didn't get a chance to watch it at work.,2020-12-10,2,3,false
Ugz5Ij0Kth1_qpDOCo54AaABAg,YR9Faf1uZDg,Did you just used avacado or papaya as mouse😂,2020-12-10,2,2,false
UgxwujHWc4yKjAyDnU14AaABAg,YR9Faf1uZDg,Ps: I am only halfway through',2020-12-10,3,1,false
UgwypdSgjoUcgKnwy9N4AaABAg,myhoWUrSP7o,I actually like how you prevent spam. I was literally commenting a similar idea as you said it. Nice work.,2020-12-10,1,1,false
